epoch,train_loss,val_auroc,val_auprc,val_f1,val_accuracy,val_sensitivity,val_specificity,learning_rate,learning_rate_start,learning_rate_end,learning_rate_mean,epoch_time_seconds,best_checkpoint_this_epoch,val_threshold,best_val_metric,best_val_metric_name,num_bad_epochs,train_time_seconds,val_time_seconds
0,0.34357414810783554,0.9990338164251208,0.999159130036322,0.9913793103448276,0.9906542056074766,1.0,0.9797979797979798,0.0004,0.0,0.0004,0.00020062893081761006,5.422860894352198,True,0.8382853865623474,0.9990338164251208,auroc,0,4.330358797684312,1.028420865535736
1,0.11785581901394206,0.9977162933684673,0.9981398330621061,0.9781659388646288,0.9766355140186916,0.9739130434782609,0.9797979797979798,0.000789937106918239,0.0004,0.000789937106918239,0.0005955974842767296,4.460448082536459,False,0.4902632534503937,0.9990338164251208,auroc,1,3.4855742901563644,0.9748700633645058
2,0.10369569708779161,0.9971892841458059,0.9976723384370709,0.9736842105263158,0.9719626168224299,0.9652173913043478,0.9797979797979798,0.0009999999026713297,0.000789937106918239,0.0009999999026713297,0.0008974398807224334,4.394383501261473,False,0.9835940003395081,0.9990338164251208,auroc,2,3.421256773173809,0.9731233697384596
3,0.0814991956862252,0.9931488801054019,0.9940226224864813,0.9663865546218487,0.9626168224299065,1.0,0.9191919191919192,0.0009999993078851483,0.0009999999026713297,0.0009999993078851483,0.0009999995890567796,4.291428413242102,False,0.15938124060630798,0.9990338164251208,auroc,3,3.3252480160444975,0.9661761298775673
4,0.10255495533962154,0.993939393939394,0.9947269353496417,0.9663865546218487,0.9626168224299065,1.0,0.9191919191919192,0.0009999984427420327,0.0009999993078851483,0.0009999984427420327,0.000999998794206385,4.481478437781334,False,0.03582252189517021,0.9990338164251208,auroc,4,3.4539387803524733,1.0275338236242533
5,0.09481632550987971,0.9937637241985068,0.9941628171914987,0.9785407725321889,0.9766355140186916,0.991304347826087,0.9595959595959596,0.000999993770977831,0.0009999984427420327,0.000999993770977831,0.0009999961699419903,4.623789871111512,False,0.8966261148452759,0.9990338164251208,auroc,5,3.6273507215082645,0.9964343272149563
6,0.09921712772305703,0.9943785682916118,0.9948724998978742,0.9741379310344828,0.9719626168224299,0.9826086956521739,0.9595959595959596,0.0009999915216150717,0.000999993770977831,0.0009999915216150717,0.0009999923921614534,4.874941054731607,False,0.8824573755264282,0.9990338164251208,auroc,6,3.8481730986386538,1.0267634484916925
7,0.09404161458237553,0.9946420729029425,0.9951513016918143,0.9739130434782609,0.9719626168224299,0.9739130434782609,0.9696969696969697,0.0009999909052037504,0.0009999915216150717,0.0009999909052037504,0.0009999909052037504,4.706879820674658,False,0.9468876123428345,0.9990338164251208,auroc,7,3.6728230882436037,1.0340522229671478
8,0.0961797581773263,0.9948177426438296,0.9953776582867212,0.9739130434782609,0.9719626168224299,0.9739130434782609,0.9696969696969697,0.0009999902671642285,0.0009999909052037504,0.0009999902671642285,0.0009999902671642285,4.984359180554748,False,0.9467881321907043,0.9990338164251208,auroc,8,3.9600335638970137,1.0243194345384836
9,0.10329037193288007,0.9948177426438296,0.9953776582867212,0.9739130434782609,0.9719626168224299,0.9739130434782609,0.9696969696969697,0.0009999902671642285,0.0009999902671642285,0.0009999902671642285,0.0009999902671642285,5.030122196301818,False,0.9480791091918945,0.9990338164251208,auroc,9,3.9552127700299025,1.074906861409545
10,0.10638998205914109,0.9949055775142731,0.9954885980130366,0.9739130434782609,0.9719626168224299,0.9739130434782609,0.9696969696969697,0.0009999896074965335,0.0009999902671642285,0.0009999896074965335,0.0009999896074965335,4.17068743519485,False,0.9402003884315491,0.9990338164251208,auroc,10,3.5752396266907454,0.5954447034746408
