update,lr
1,9.70873786407767e-09
2,1.941747572815534e-08
3,2.9126213592233013e-08
4,3.883495145631068e-08
5,4.854368932038835e-08
6,5.8252427184466026e-08
7,6.79611650485437e-08
8,7.766990291262136e-08
9,8.737864077669903e-08
10,9.70873786407767e-08
11,1.0679611650485437e-07
12,1.1650485436893205e-07
13,1.262135922330097e-07
14,1.359223300970874e-07
15,1.4563106796116507e-07
16,1.5533980582524273e-07
17,1.650485436893204e-07
18,1.7475728155339807e-07
19,1.8446601941747575e-07
20,1.941747572815534e-07
21,2.0388349514563108e-07
22,2.1359223300970874e-07
23,2.2330097087378642e-07
24,2.330097087378641e-07
25,2.4271844660194176e-07
26,2.524271844660194e-07
27,2.621359223300971e-07
28,2.718446601941748e-07
29,2.8155339805825244e-07
30,2.9126213592233014e-07
31,3.009708737864078e-07
32,3.1067961165048546e-07
33,3.2038834951456316e-07
34,3.300970873786408e-07
35,3.398058252427185e-07
36,3.4951456310679613e-07
37,3.592233009708738e-07
38,3.689320388349515e-07
39,3.7864077669902915e-07
40,3.883495145631068e-07
41,3.980582524271845e-07
42,4.0776699029126217e-07
43,4.174757281553398e-07
44,4.271844660194175e-07
45,4.368932038834952e-07
46,4.4660194174757285e-07
47,4.563106796116505e-07
48,4.660194174757282e-07
49,4.757281553398058e-07
50,4.854368932038835e-07
51,4.951456310679612e-07
52,5.048543689320388e-07
53,5.145631067961165e-07
54,5.242718446601942e-07
55,5.339805825242719e-07
56,5.436893203883496e-07
57,5.533980582524273e-07
58,5.631067961165049e-07
59,5.728155339805826e-07
60,5.825242718446603e-07
61,5.922330097087379e-07
62,6.019417475728156e-07
63,6.116504854368933e-07
64,6.213592233009709e-07
65,6.310679611650486e-07
66,6.407766990291263e-07
67,6.504854368932039e-07
68,6.601941747572816e-07
69,6.699029126213592e-07
70,6.79611650485437e-07
71,6.893203883495147e-07
72,6.990291262135923e-07
73,7.0873786407767e-07
74,7.184466019417476e-07
75,7.281553398058253e-07
76,7.37864077669903e-07
77,7.475728155339806e-07
78,7.572815533980583e-07
79,7.66990291262136e-07
80,7.766990291262136e-07
81,7.864077669902913e-07
82,7.96116504854369e-07
83,8.058252427184466e-07
84,8.155339805825243e-07
85,8.25242718446602e-07
86,8.349514563106797e-07
87,8.446601941747574e-07
88,8.54368932038835e-07
89,8.640776699029127e-07
90,8.737864077669904e-07
91,8.834951456310681e-07
92,8.932038834951457e-07
93,9.029126213592233e-07
94,9.12621359223301e-07
95,9.223300970873787e-07
96,9.320388349514564e-07
97,9.417475728155341e-07
98,9.514563106796116e-07
99,9.611650485436893e-07
100,9.70873786407767e-07
101,9.805825242718447e-07
102,9.902912621359225e-07
103,1.0000000000000002e-06
104,1.0097087378640777e-06
105,1.0194174757281554e-06
106,1.029126213592233e-06
107,1.0388349514563108e-06
108,1.0485436893203885e-06
109,1.0582524271844662e-06
110,1.0679611650485437e-06
111,1.0776699029126214e-06
112,1.0873786407766991e-06
113,1.0970873786407768e-06
114,1.1067961165048545e-06
115,1.1165048543689322e-06
116,1.1262135922330097e-06
117,1.1359223300970875e-06
118,1.1456310679611652e-06
119,1.1553398058252429e-06
120,1.1650485436893206e-06
121,1.1747572815533983e-06
122,1.1844660194174758e-06
123,1.1941747572815535e-06
124,1.2038834951456312e-06
125,1.213592233009709e-06
126,1.2233009708737866e-06
127,1.2330097087378643e-06
128,1.2427184466019418e-06
129,1.2524271844660195e-06
130,1.2621359223300972e-06
131,1.2718446601941747e-06
132,1.2815533980582527e-06
133,1.2912621359223302e-06
134,1.3009708737864079e-06
135,1.3106796116504856e-06
136,1.3203883495145633e-06
137,1.330097087378641e-06
138,1.3398058252427185e-06
139,1.3495145631067962e-06
140,1.359223300970874e-06
141,1.3689320388349516e-06
142,1.3786407766990293e-06
143,1.3883495145631068e-06
144,1.3980582524271845e-06
145,1.4077669902912622e-06
146,1.41747572815534e-06
147,1.4271844660194176e-06
148,1.4368932038834951e-06
149,1.4466019417475729e-06
150,1.4563106796116506e-06
151,1.4660194174757283e-06
152,1.475728155339806e-06
153,1.4854368932038837e-06
154,1.4951456310679612e-06
155,1.5048543689320389e-06
156,1.5145631067961166e-06
157,1.5242718446601943e-06
158,1.533980582524272e-06
159,1.5436893203883497e-06
160,1.5533980582524272e-06
161,1.563106796116505e-06
162,1.5728155339805826e-06
163,1.5825242718446603e-06
164,1.592233009708738e-06
165,1.6019417475728158e-06
166,1.6116504854368933e-06
167,1.621359223300971e-06
168,1.6310679611650487e-06
169,1.6407766990291264e-06
170,1.650485436893204e-06
171,1.6601941747572816e-06
172,1.6699029126213593e-06
173,1.679611650485437e-06
174,1.6893203883495147e-06
175,1.6990291262135924e-06
176,1.70873786407767e-06
177,1.7184466019417478e-06
178,1.7281553398058253e-06
179,1.737864077669903e-06
180,1.7475728155339808e-06
181,1.7572815533980583e-06
182,1.7669902912621362e-06
183,1.7766990291262137e-06
184,1.7864077669902914e-06
185,1.796116504854369e-06
186,1.8058252427184466e-06
187,1.8155339805825245e-06
188,1.825242718446602e-06
189,1.83495145631068e-06
190,1.8446601941747574e-06
191,1.854368932038835e-06
192,1.8640776699029128e-06
193,1.8737864077669903e-06
194,1.8834951456310683e-06
195,1.8932038834951458e-06
