model,noise_type,mean_auroc,mean_f1,min_f1,mean_sensitivity,mean_specificity,f1_at_neg6,sensitivity_at_neg6,specificity_at_neg6
BiLSTM h128 n2 bi,bw,0.7349887921214125,0.7534704874799009,0.6970954356846473,0.8914893617021277,0.3911917098445596,0.7049180327868853,0.9148936170212766,0.1709844559585492
BiLSTM h128 n2 bi,em,0.652138683717341,0.714190120959067,0.654300168634064,0.9078014184397163,0.21675302245250427,0.708018154311649,0.9957446808510638,0.005181347150259
BiLSTM h128 n2 bi,ma,0.7032760077903943,0.7516442919714184,0.6986899563318777,0.9304964539007092,0.3031088082901554,0.7099697885196374,1.0,0.005181347150259
CNN1D c256 n3 k7,bw,0.9945210009921728,0.968706940174385,0.9673202614379084,0.9553191489361702,0.9792746113989637,0.9698275862068966,0.9574468085106383,0.9792746113989638
CNN1D c256 n3 k7,em,0.9874986219821408,0.9532205863526165,0.8903508771929824,0.9368794326241136,0.9654576856649396,0.8903508771929824,0.8638297872340426,0.9067357512953368
CNN1D c256 n3 k7,ma,0.9903759232719657,0.9630100030837766,0.9391304347826088,0.9517730496453901,0.9697754749568221,0.9391304347826088,0.9191489361702128,0.9533678756476685
ECGMamba-BiLSTM d128 h64 n2,bw,0.9956785359938265,0.973497591708331,0.9653679653679652,0.9645390070921985,0.9792746113989638,0.9653679653679652,0.948936170212766,0.9792746113989638
ECGMamba-BiLSTM d128 h64 n2,em,0.9939550949913644,0.9734263067364625,0.9663865546218487,0.9730496453900709,0.9680483592400692,0.9663865546218487,0.9787234042553192,0.9430051813471504
ECGMamba-BiLSTM d128 h64 n2,ma,0.9942380479917686,0.9676255283017005,0.9523809523809524,0.9546099290780141,0.9775474956822107,0.9523809523809524,0.9361702127659576,0.9637305699481864
ECGMamba-BiMamba d128 n2 s64,bw,0.9937787087053982,0.9699761504264804,0.9653679653679652,0.9624113475177305,0.9732297063903282,0.9653679653679652,0.948936170212766,0.9792746113989638
ECGMamba-BiMamba d128 n2 s64,em,0.9903961342005659,0.959813640612901,0.9273504273504274,0.9482269503546098,0.966321243523316,0.9273504273504274,0.9234042553191488,0.917098445595855
ECGMamba-BiMamba d128 n2 s64,ma,0.9890787491272554,0.9558921435125507,0.9193899782135077,0.9390070921985815,0.9689119170984456,0.9193899782135077,0.8978723404255319,0.932642487046632
ECGMamba-BiSSM,bw,0.9950428104214897,0.9745279726271164,0.9680170575692963,0.9631205673758866,0.9835924006908462,0.974025974025974,0.9574468085106383,0.9896373056994818
ECGMamba-BiSSM,em,0.9908315878440451,0.9631244883686715,0.9401709401709402,0.9531914893617022,0.9680483592400692,0.9401709401709402,0.9361702127659576,0.932642487046632
ECGMamba-BiSSM,ma,0.992782861132547,0.9679053634249898,0.9539748953974896,0.9602836879432624,0.9706390328151987,0.9539748953974896,0.9702127659574468,0.922279792746114
Mamba d128 n4 s64,bw,0.99603498328005,0.971808120023729,0.9605263157894736,0.9546099290780141,0.9879101899827288,0.9605263157894736,0.9319148936170212,0.9896373056994818
Mamba d128 n4 s64,em,0.988814169698306,0.9568407982418573,0.9066666666666666,0.9411347517730496,0.9689119170984456,0.9066666666666666,0.8680851063829788,0.9430051813471504
Mamba d128 n4 s64,ma,0.9916400249880571,0.9630773524334754,0.9427312775330396,0.9460992907801419,0.9775474956822108,0.9427312775330396,0.9106382978723404,0.9740932642487048
