model,noise_type,mean_auroc,mean_f1,min_f1,mean_sensitivity,mean_specificity,f1_at_neg6,sensitivity_at_neg6,specificity_at_neg6
BiLSTM h128 n2 bi,bw,0.5715962958879948,0.7108143355333314,0.7088989441930619,0.9893617021276596,0.03238341968911915,0.7088989441930619,1.0,0.0
BiLSTM h128 n2 bi,em,0.5637801785911145,0.7143040782746666,0.7088989441930619,0.9893617021276596,0.04792746113989635,0.7088989441930619,1.0,0.0
BiLSTM h128 n2 bi,ma,0.5844780068349685,0.7134212237891973,0.708018154311649,0.9851063829787234,0.0531088082901554,0.7088989441930619,1.0,0.0
CNN1D c256 n3 k7,bw,0.9631738507331055,0.9013262007257486,0.7393364928909952,0.9702127659574468,0.7396373056994818,0.7393364928909952,0.9957446808510638,0.1502590673575129
CNN1D c256 n3 k7,em,0.9279021056112887,0.8611788469871087,0.715372907153729,0.9797872340425532,0.5906735751295337,0.715372907153729,1.0,0.0310880829015544
CNN1D c256 n3 k7,ma,0.9483022819975747,0.8647468315213178,0.7145038167938931,0.9797872340425532,0.6062176165803108,0.7145038167938931,0.9957446808510638,0.0362694300518134
ECGMamba-BiLSTM d128 h64 n2,bw,0.9914011685591445,0.9704145325569205,0.9552238805970148,0.9585106382978723,0.9792746113989637,0.9552238805970148,0.9531914893617022,0.9481865284974094
ECGMamba-BiLSTM d128 h64 n2,em,0.9591169661558814,0.9076381201711999,0.7843137254901961,0.9595744680851064,0.7953367875647668,0.7843137254901961,0.9361702127659576,0.4507772020725388
ECGMamba-BiLSTM d128 h64 n2,ma,0.9661338330944769,0.9131670418294708,0.8027681660899654,0.9723404255319148,0.7914507772020725,0.8027681660899654,0.9872340425531916,0.4248704663212435
ECGMamba-BiMamba d128 n2 s64,bw,0.977174512181678,0.9109675947243041,0.7401574803149606,0.9840425531914894,0.7461139896373057,0.7401574803149606,1.0,0.1450777202072538
ECGMamba-BiMamba d128 n2 s64,em,0.9204387608863411,0.8097166640725062,0.7088989441930619,0.9914893617021276,0.3937823834196891,0.7088989441930619,1.0,0.0
ECGMamba-BiMamba d128 n2 s64,ma,0.9314188071877411,0.8405211123042435,0.7099697885196374,0.9882978723404254,0.5077720207253885,0.7099697885196374,1.0,0.005181347150259
ECGMamba-BiSSM,bw,0.9878513945540733,0.9576750011314022,0.9166666666666666,0.9436170212765957,0.9676165803108809,0.9166666666666666,0.8893617021276595,0.9378238341968912
ECGMamba-BiSSM,em,0.9340370411200529,0.8775576906708126,0.7304075235109718,0.9829787234042553,0.6463730569948187,0.7304075235109718,0.9914893617021276,0.1191709844559585
ECGMamba-BiSSM,ma,0.9587972660125675,0.8954864928434005,0.7684729064039408,0.9797872340425531,0.7202072538860104,0.7684729064039408,0.9957446808510638,0.2746113989637305
Mamba d128 n4 s64,bw,0.9472935729247051,0.8833892734540825,0.7085427135678392,0.8297872340425532,0.9546632124352332,0.7085427135678392,0.6,0.8860103626943006
Mamba d128 n4 s64,em,0.9109579980156544,0.8797783175573622,0.7243816254416962,0.9287234042553192,0.7538860103626943,0.7243816254416962,0.8723404255319149,0.3471502590673575
Mamba d128 n4 s64,ma,0.862636423768052,0.8329441470353088,0.7158555729984302,0.9606382978723405,0.5375647668393783,0.7158555729984302,0.9702127659574468,0.0984455958549222
