model,noise_type,zero_shot_f1_neg6,zero_shot_sensitivity_neg6,zero_shot_specificity_neg6,zero_shot_auroc_neg6,noisy_training_f1_neg6,noisy_training_sensitivity_neg6,noisy_training_specificity_neg6,noisy_training_auroc_neg6,f1_recovery,specificity_recovery
BiLSTM h128 n2 bi,bw,0.7088989441930619,1.0,0.0,0.4932973211332818,0.7049180327868853,0.9148936170212766,0.1709844559585492,0.6236578106052255,-0.003980911406176624,0.1709844559585492
BiLSTM h128 n2 bi,em,0.7088989441930619,1.0,0.0,0.4739830228199757,0.708018154311649,0.9957446808510638,0.005181347150259,0.5706427075294896,-0.0008807898814128245,0.005181347150259
BiLSTM h128 n2 bi,ma,0.708018154311649,0.9957446808510638,0.005181347150259,0.5453863962076948,0.7099697885196374,1.0,0.005181347150259,0.5431154227758791,0.0019516342079883842,0.0
ECGMamba-BiMamba d128 n2 s64,bw,0.9227642276422764,0.9659574468085106,0.844559585492228,0.974137360820196,0.9653679653679652,0.948936170212766,0.9792746113989638,0.991753941131077,0.04260373772568882,0.13471502590673579
ECGMamba-BiMamba d128 n2 s64,em,0.7132018209408194,1.0,0.0207253886010362,0.7309888656156985,0.9273504273504274,0.9234042553191488,0.917098445595855,0.9776540623966486,0.21414860640960798,0.8963730569948187
ECGMamba-BiMamba d128 n2 s64,ma,0.7164634146341463,1.0,0.0362694300518134,0.811906074302723,0.9193899782135077,0.8978723404255319,0.932642487046632,0.97213096681733,0.20292656357936134,0.8963730569948186
ECGMamba-BiSSM,bw,0.9456066945606696,0.9617021276595744,0.911917098445596,0.9743798919633998,0.974025974025974,0.9574468085106383,0.9896373056994818,0.9954801014221144,0.028419279465304426,0.07772020725388584
ECGMamba-BiSSM,em,0.760655737704918,0.9872340425531916,0.2590673575129533,0.8880167566971667,0.9401709401709402,0.9361702127659576,0.932642487046632,0.977422555396318,0.17951520246602215,0.6735751295336787
ECGMamba-BiSSM,ma,0.8132635253054101,0.9914893617021276,0.4559585492227979,0.9535001653621432,0.9539748953974896,0.9702127659574468,0.922279792746114,0.9872781391246832,0.14071137009207946,0.46632124352331616
CNN1D c256 n3 k7,bw,0.8699029126213592,0.9531914893617022,0.7098445595854922,0.9615257413736082,0.9698275862068966,0.9574468085106383,0.9792746113989638,0.9925256311321794,0.09992467358553736,0.26943005181347157
CNN1D c256 n3 k7,em,0.7346938775510204,0.9957446808510638,0.1295336787564766,0.8136037923051483,0.8903508771929824,0.8638297872340426,0.9067357512953368,0.9593429610847756,0.155656999641962,0.7772020725388602
CNN1D c256 n3 k7,ma,0.7428571428571429,0.9957446808510638,0.1658031088082901,0.892580751846544,0.9391304347826088,0.9191489361702128,0.9533678756476685,0.9814573916877964,0.19627329192546594,0.7875647668393784
ECGMamba-BiLSTM d128 h64 n2,bw,0.9126984126984128,0.9787234042553192,0.7979274611398963,0.9835960754051372,0.9653679653679652,0.948936170212766,0.9792746113989638,0.9940690111343844,0.05266955266955242,0.18134715025906745
ECGMamba-BiLSTM d128 h64 n2,em,0.7222222222222222,0.9957446808510638,0.0725388601036269,0.8725939808179914,0.9663865546218487,0.9787234042553192,0.9430051813471504,0.988909712269871,0.24416433239962654,0.8704663212435235
ECGMamba-BiLSTM d128 h64 n2,ma,0.7358490566037735,0.9957446808510638,0.1347150259067357,0.8801785911145408,0.9523809523809524,0.9361702127659576,0.9637305699481864,0.9887994708411422,0.2165318957771789,0.8290155440414507
Mamba d128 n4 s64,bw,0.8911290322580645,0.9404255319148936,0.7927461139896373,0.9449013339212876,0.9605263157894736,0.9319148936170212,0.9896373056994818,0.9929004519898578,0.06939728353140906,0.19689119170984448
Mamba d128 n4 s64,em,0.7252747252747253,0.9829787234042552,0.1139896373056994,0.744669826920957,0.9066666666666666,0.8680851063829788,0.9430051813471504,0.9657810605225444,0.18139194139194137,0.829015544041451
Mamba d128 n4 s64,ma,0.7110438729198184,1.0,0.0103626943005181,0.718311101311873,0.9427312775330396,0.9106382978723404,0.9740932642487048,0.983618123690883,0.23168740461322124,0.9637305699481867
