epoch,train_loss,val_auroc,val_auprc,val_f1,val_accuracy,val_sensitivity,val_specificity,learning_rate,learning_rate_start,learning_rate_end,learning_rate_mean,epoch_time_seconds,best_checkpoint_this_epoch,val_threshold,best_val_metric,best_val_metric_name,num_bad_epochs,train_time_seconds,val_time_seconds
0,0.2924536092242596,0.997189284145806,0.9975987095094582,0.9783549783549783,0.9766355140186916,0.9826086956521739,0.9696969696969697,0.0004001336005344021,0.0,0.0004001336005344021,0.00020040080160320644,3.6466615851968527,True,0.2126251459121704,0.997189284145806,auroc,0,3.3146724067628384,0.2823547963052988
1,0.13249283367324813,0.9990338164251208,0.9992114636865431,0.9912280701754386,0.9906542056074766,0.9826086956521739,1.0,0.0008002672010688042,0.0004001336005344021,0.0008002672010688042,0.0006005344021376086,2.8742843717336655,True,0.997772753238678,0.9990338164251208,auroc,0,2.5953763853758574,0.2322726845741272
2,0.11283985282627178,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009997257248720195,0.0008002672010688042,0.0009997257248720195,0.0009502708633612238,2.8160201516002417,True,0.9818199872970581,1.0,auroc,0,2.5379863753914833,0.23725089989602566
3,0.0839284323855538,0.9999121651295565,0.999925037481259,0.9956709956709957,0.9953271028037384,1.0,0.98989898989899,0.0009975388029093237,0.0009997257248720195,0.0009975388029093237,0.000998812276642304,2.845217127352953,False,0.7595718502998352,1.0,auroc,1,2.606119407340884,0.2390941046178341
4,0.06824275091459947,0.9997364953886694,0.999778924097273,0.9956331877729258,0.9953271028037384,0.991304347826087,1.0,0.0009931763467888243,0.0009975388029093237,0.0009931763467888243,0.0009955345774349587,2.7936225049197674,False,0.9978615641593933,1.0,auroc,2,2.551954986527562,0.24166367202997208
5,0.061450957871999945,0.9998243302591129,0.9998513563730953,0.9956331877729258,0.9953271028037384,0.991304347826087,1.0,0.0009866574317509784,0.0009931763467888243,0.0009866574317509784,0.0009900901077299587,2.8304430842399597,False,0.9913045167922974,1.0,auroc,3,2.595373500138521,0.2350656259804964
6,0.051653205731554026,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009780105623511167,0.0009866574317509784,0.0009780105623511167,0.0009825026739716356,2.797555096447468,False,0.9522800445556641,1.0,auroc,4,2.558717668056488,0.23883367329835892
7,0.052416624330708726,0.9999121651295565,0.9999250374812592,0.9956709956709957,0.9953271028037384,1.0,0.98989898989899,0.0009672735478206543,0.0009780105623511167,0.0009672735478206543,0.0009728054529116612,2.7904823925346136,False,0.9821258783340454,1.0,auroc,5,2.5596577171236277,0.23082064650952816
8,0.041508027328001816,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.000954493336742752,0.0009672735478206543,0.000954493336742752,0.0009610408465406514,2.806363934651017,False,0.9947636127471924,1.0,auroc,6,2.572191582992673,0.23416930623352528
9,0.04445608303561894,0.9994729907773386,0.9995620667926906,0.991304347826087,0.9906542056074766,0.991304347826087,0.98989898989899,0.0009397258117653182,0.000954493336742752,0.0009397258117653182,0.0009472602966815624,2.8600594848394394,False,0.966144859790802,1.0,auroc,7,2.621715269982815,0.23834084905683994
10,0.03603834827119198,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009230355452489947,0.0009397258117653182,0.0009230355452489947,0.0009315240600555913,2.763880953192711,False,0.9965805411338806,1.0,auroc,8,2.545045344159007,0.21883208118379116
11,0.0349895391544834,1.0,1.0,1.0,1.0,1.0,1.0,0.0009044955169185722,0.0009230355452489947,0.0009044955169185722,0.0009139009448041233,2.070452854037285,False,0.9864110350608826,1.0,auroc,9,1.897177716717124,0.17327191308140755
12,0.03921340428320349,0.9999121651295565,0.9999250374812595,0.9956709956709957,0.9953271028037384,1.0,0.98989898989899,0.0008841867947524349,0.0009044955169185722,0.0008841867947524349,0.0008944680096188068,2.156962566077709,False,0.9939581155776978,1.0,auroc,10,1.9667057190090418,0.19025351107120514
