update,lr
1,1.2578616352201259e-08
2,2.5157232704402518e-08
3,3.773584905660378e-08
4,5.0314465408805036e-08
5,6.289308176100629e-08
6,7.547169811320756e-08
7,8.805031446540882e-08
8,1.0062893081761007e-07
9,1.1320754716981133e-07
10,1.2578616352201258e-07
11,1.3836477987421386e-07
12,1.5094339622641512e-07
13,1.6352201257861638e-07
14,1.7610062893081763e-07
15,1.886792452830189e-07
16,2.0125786163522014e-07
17,2.138364779874214e-07
18,2.2641509433962265e-07
19,2.389937106918239e-07
20,2.5157232704402517e-07
21,2.641509433962264e-07
22,2.7672955974842773e-07
23,2.89308176100629e-07
24,3.0188679245283024e-07
25,3.144654088050315e-07
26,3.2704402515723275e-07
27,3.39622641509434e-07
28,3.5220125786163526e-07
29,3.647798742138365e-07
30,3.773584905660378e-07
31,3.8993710691823903e-07
32,4.025157232704403e-07
33,4.1509433962264154e-07
34,4.276729559748428e-07
35,4.4025157232704405e-07
36,4.528301886792453e-07
37,4.6540880503144656e-07
38,4.779874213836478e-07
39,4.905660377358491e-07
40,5.031446540880503e-07
41,5.157232704402516e-07
42,5.283018867924528e-07
43,5.408805031446542e-07
44,5.534591194968555e-07
45,5.660377358490567e-07
46,5.78616352201258e-07
47,5.911949685534592e-07
48,6.037735849056605e-07
49,6.163522012578617e-07
50,6.28930817610063e-07
51,6.415094339622642e-07
52,6.540880503144655e-07
53,6.666666666666667e-07
54,6.79245283018868e-07
55,6.918238993710692e-07
56,7.044025157232705e-07
57,7.169811320754717e-07
58,7.29559748427673e-07
59,7.421383647798742e-07
60,7.547169811320755e-07
61,7.672955974842768e-07
62,7.798742138364781e-07
63,7.924528301886793e-07
64,8.050314465408806e-07
65,8.176100628930818e-07
66,8.301886792452831e-07
67,8.427672955974843e-07
68,8.553459119496856e-07
69,8.679245283018868e-07
70,8.805031446540881e-07
71,8.930817610062893e-07
72,9.056603773584906e-07
73,9.182389937106918e-07
74,9.308176100628931e-07
75,9.433962264150944e-07
76,9.559748427672956e-07
77,9.68553459119497e-07
78,9.811320754716983e-07
79,9.937106918238995e-07
80,1.0062893081761007e-06
81,1.018867924528302e-06
82,1.0314465408805033e-06
83,1.0440251572327045e-06
84,1.0566037735849057e-06
85,1.069182389937107e-06
86,1.0817610062893083e-06
87,1.0943396226415095e-06
88,1.106918238993711e-06
89,1.1194968553459121e-06
90,1.1320754716981133e-06
91,1.1446540880503145e-06
92,1.157232704402516e-06
93,1.1698113207547171e-06
94,1.1823899371069183e-06
95,1.1949685534591195e-06
96,1.207547169811321e-06
97,1.2201257861635222e-06
98,1.2327044025157234e-06
99,1.2452830188679246e-06
100,1.257861635220126e-06
101,1.2704402515723272e-06
102,1.2830188679245284e-06
103,1.2955974842767296e-06
104,1.308176100628931e-06
105,1.3207547169811322e-06
106,1.3333333333333334e-06
107,1.3459119496855346e-06
108,1.358490566037736e-06
109,1.3710691823899372e-06
110,1.3836477987421384e-06
111,1.3962264150943396e-06
112,1.408805031446541e-06
113,1.4213836477987423e-06
114,1.4339622641509435e-06
115,1.4465408805031447e-06
116,1.459119496855346e-06
117,1.4716981132075473e-06
118,1.4842767295597485e-06
119,1.4968553459119497e-06
120,1.509433962264151e-06
121,1.5220125786163523e-06
122,1.5345911949685535e-06
123,1.5471698113207547e-06
124,1.5597484276729561e-06
125,1.5723270440251573e-06
126,1.5849056603773585e-06
127,1.5974842767295597e-06
128,1.6100628930817611e-06
129,1.6226415094339623e-06
130,1.6352201257861635e-06
131,1.6477987421383648e-06
132,1.6603773584905662e-06
133,1.6729559748427674e-06
134,1.6855345911949686e-06
135,1.6981132075471698e-06
136,1.7106918238993712e-06
137,1.7232704402515724e-06
138,1.7358490566037736e-06
139,1.7484276729559748e-06
140,1.7610062893081762e-06
141,1.7735849056603774e-06
142,1.7861635220125786e-06
143,1.7987421383647798e-06
144,1.8113207547169812e-06
145,1.8238993710691824e-06
146,1.8364779874213836e-06
147,1.8490566037735848e-06
148,1.8616352201257863e-06
149,1.8742138364779875e-06
150,1.8867924528301889e-06
151,1.8993710691823903e-06
152,1.9119496855345913e-06
153,1.9245283018867927e-06
154,1.937106918238994e-06
155,1.949685534591195e-06
156,1.9622641509433965e-06
157,1.974842767295598e-06
158,1.987421383647799e-06
159,2.0000000000000003e-06
160,2.0125786163522013e-06
161,2.0251572327044027e-06
162,2.037735849056604e-06
163,2.050314465408805e-06
164,2.0628930817610066e-06
165,2.075471698113208e-06
166,2.088050314465409e-06
167,2.1006289308176104e-06
168,2.1132075471698114e-06
169,2.1257861635220128e-06
170,2.138364779874214e-06
171,2.150943396226415e-06
172,2.1635220125786166e-06
173,2.176100628930818e-06
174,2.188679245283019e-06
175,2.2012578616352204e-06
176,2.213836477987422e-06
177,2.226415094339623e-06
178,2.2389937106918242e-06
179,2.2515723270440252e-06
180,2.2641509433962266e-06
181,2.276729559748428e-06
182,2.289308176100629e-06
183,2.3018867924528305e-06
184,2.314465408805032e-06
185,2.327044025157233e-06
186,2.3396226415094343e-06
187,2.3522012578616353e-06
188,2.3647798742138367e-06
189,2.377358490566038e-06
190,2.389937106918239e-06
191,2.4025157232704405e-06
192,2.415094339622642e-06
193,2.427672955974843e-06
194,2.4402515723270443e-06
195,2.4528301886792453e-06
196,2.4654088050314467e-06
197,2.477987421383648e-06
198,2.490566037735849e-06
199,2.5031446540880506e-06
200,2.515723270440252e-06
201,2.528301886792453e-06
202,2.5408805031446544e-06
203,2.5534591194968554e-06
204,2.5660377358490568e-06
205,2.578616352201258e-06
206,2.591194968553459e-06
207,2.6037735849056606e-06
208,2.616352201257862e-06
209,2.628930817610063e-06
210,2.6415094339622644e-06
211,2.6540880503144654e-06
212,2.666666666666667e-06
213,2.6792452830188682e-06
214,2.6918238993710692e-06
215,2.7044025157232706e-06
216,2.716981132075472e-06
217,2.729559748427673e-06
218,2.7421383647798745e-06
219,2.7547169811320755e-06
220,2.767295597484277e-06
221,2.7798742138364783e-06
222,2.7924528301886793e-06
223,2.8050314465408807e-06
224,2.817610062893082e-06
225,2.830188679245283e-06
226,2.8427672955974845e-06
227,2.8553459119496855e-06
228,2.867924528301887e-06
229,2.8805031446540883e-06
230,2.8930817610062893e-06
231,2.9056603773584907e-06
232,2.918238993710692e-06
233,2.930817610062893e-06
234,2.9433962264150946e-06
235,2.9559748427672955e-06
236,2.968553459119497e-06
237,2.9811320754716984e-06
238,2.9937106918238994e-06
239,3.0062893081761008e-06
240,3.018867924528302e-06
241,3.031446540880503e-06
